;mCPUE;bootstrapMean;median;Q025;Q975;BiasCQ025;BiasCQ075;sd
62;11.44009688;10.31327213;10.26425851;7.759158262;13.26760857;6.883235029;6.883235029;1.383961837
63;9.171106202;7.309037858;7.073710619;3.710705933;12.01054999;2.565007467;2.565007467;2.127714304
64;8.921480756;10.71175701;10.6495052;8.303247086;13.75118837;7.236110488;7.236110488;1.344850094
65;0.770632176;0.866323176;0.819131229;0.64804508;1.677088712;0.506884489;0.506884489;0.223506973
66;0.551497557;0.478573253;0.475500983;0.349014285;0.618922386;0.281822793;0.281822793;0.069893953
67;0.120653413;0.13581017;0.131851789;0.079575322;0.20894469;0.063567707;0.063567707;0.03438232
68;0.086475681;0.086933105;0.084801861;0.033871262;0.147899549;0.020630069;0.020630069;0.028336318
69;0.046838944;0.030901332;0.030380098;0.007533273;0.060290705;0.001933386;0.001933386;0.013218748
70;0.322676962;0.275795613;0.265886551;0.174063949;0.42951718;0.114519527;0.114519527;0.06731478
71;0;0;0;0;0;0;0;0
72;11.04265367;10.49433669;10.29620698;3.818948842;19.26900958;2.515431922;2.515431922;3.849185937
73;1.652205266;6.887488195;5.116032578;0.990067074;20.11108721;0.380410187;0.380410187;5.282827225
74;6.025460749;10.84631846;10.4477064;6.152781475;17.18333564;4.76350562;4.76350562;3.012572883
75;2.728740337;1.313465046;1.143053302;0.389080127;3.252372861;0.20358017;0.20358017;0.731958286
76;1.189292113;0.527052978;0.49910267;0.146163794;1.081608241;5.84809E-15;0.000361579;0.235341551
77;0.085553152;0.178434912;0.139127082;0;0.532859534;0;0;0.147726778
78;0.091870779;0.08565191;0.059452446;0;0.296611764;0;0.053507202;0.084661912
79;0;0.029167207;0.017400471;0;0.137977473;0;0.035877375;0.039917837
80;0.477276191;0.346315195;0.258688367;0.041261295;1.071241708;0;0;0.354768215
81;0;0;0;0;0;0;0;0
82;10.5800149;10.41018286;10.13888602;4.920148453;16.75817703;2.057064835;2.057064835;3.124062373
83;4.932777082;6.685083828;5.420844471;1.31209884;18.21924939;0.410459426;0.410459426;4.711242654
84;7.361821642;10.67051477;10.38539054;6.35138405;15.70375958;3.783712663;3.783712663;2.530740988
85;1.873219343;1.273739746;1.181368708;0.423322491;2.658084017;0.223782426;0.223782426;0.582720622
86;0.729577656;0.534328871;0.518386064;0.20303005;0.962119084;0.120989338;0.120989338;0.193488947
87;0.213852349;0.168072557;0.146262142;0.024696875;0.412014712;0;0;0.11854384
88;0.020579693;0.081374298;0.071919121;0;0.232165441;0;0.010440282;0.063900339
89;0;0.030720942;0.020880565;0;0.125589076;0;0.017400471;0.035756265
90;0.305317575;0.34295168;0.259034587;0.08166736;1.101200443;3.44082E-15;0.000212741;0.298223378
91;0;0;0;0;0;0;0;0
92;8.211641992;10.19413684;10.13594759;5.458930855;15.6511194;3.702492738;3.702492738;2.734547777
93;3.699737905;6.620900944;5.69244409;1.492306995;16.99746321;0.784188118;0.784188118;3.953115602
94;6.968317372;10.45569508;10.34833482;6.664366945;15.54043261;4.279273615;4.279273615;2.280294534
95;1.104650016;1.196149111;1.03364298;0.460461798;2.539336517;0.362979444;0.362979444;0.559730485
96;0.6200187;0.506456346;0.484756943;0.228227572;0.879212695;0.007549458;0.007549458;0.171101454
97;0.243874595;0.157113643;0.14367968;0.030233318;0.362808263;6.84644E-16;4.23306E-05;0.086137088
98;0.077935592;0.086067338;0.07722271;0;0.227359273;0;0;0.061237682
99;0.008700235;0.032273104;0.02391825;0;0.110053844;0;0.010440282;0.031793301
100;0.347311103;0.336719427;0.275613452;0.092009218;1.006452648;0.029893028;0.029893028;0.246665293
101;0;0;0;0;0;0;0;0
102;9.567378693;10.31928063;10.23379678;6.792779746;14.31530069;5.801510093;5.801510093;1.961071474
103;12.64912578;7.330111161;6.876213239;2.505439743;14.31542718;1.91831316;1.91831316;3.057962571
104;11.69758872;10.72095899;10.52918435;7.470878621;14.47720318;6.504780585;6.504780585;1.86700879
105;0.796383;1.065529746;0.900286073;0.549489571;2.091532528;0.378629429;0.378629429;0.452780057
106;0.409297739;0.489821926;0.486249576;0.29966959;0.699217353;0.174343642;0.174343642;0.108477623
107;0.107271145;0.148302193;0.14035896;0.059080692;0.285517742;0.01977791;0.01977791;0.058904201
108;0.041802501;0.08399711;0.078358394;0.014703425;0.166689014;3.86528E-16;2.38985E-05;0.041575029
109;0.077753437;0.031109092;0.027401303;0;0.083340726;0;0;0.021354115
110;0.329059848;0.289267393;0.271006552;0.130472619;0.553466926;0.097161427;0.097161427;0.108890965
111;0;0;0;0;0;0;0;0
112;10.83035016;10.22058404;10.18312065;7.089776914;13.51627562;6.357246448;6.357246448;1.702727223
113;4.241261817;7.280118672;6.920130304;2.838214684;13.25378021;1.637316422;1.637316422;2.838605446
114;11.12922281;10.97386394;10.87167667;7.854180595;14.68741716;6.643439753;6.643439753;1.737286583
115;0.920257747;0.947492447;0.854671463;0.591556027;1.842807243;0.536733804;0.536733804;0.321619228
