;Year;Quarter;Bootstrap;ALK;age;mCPUE;boostrapMean;median;Q025;Q975;L;U;sd;RSE;Width CI-95
35;2018;Q3;Modified-ICES;area based;6+;0,299446503;0,292997128;0,293047966;0,233892131;0,352914335;0,247051467;0,369406449;0,030803275;0,102867371;0,122354982
36;2018;Q3;Stratified;haul based;0;0,837159214;0,788728935;0,788728864;0,414459595;1,151370349;0,514227616;1,218868522;0,190973719;0,228121145;0,704640905
37;2018;Q3;Stratified;haul based;1;2,239452951;2,233077066;2,227007981;1,564811473;2,936442212;1,577694569;2,946589874;0,381020832;0,170140137;1,368895305
38;2018;Q3;Stratified;haul based;2;4,796366876;4,90172589;4,898866721;4,342391479;5,436602529;4,261824986;5,238809282;0,276465102;0,057640525;0,976984297
39;2018;Q3;Stratified;haul based;3;0,94262526;0,933766532;0,930051984;0,683540311;1,203732881;0,696363633;1,211330766;0,139144015;0,147613289;0,514967132
40;2018;Q3;Stratified;haul based;4;0,717575451;0,717544901;0,718691277;0,375631117;1,06927298;0,374032873;1,06762782;0,222242276;0,309712763;0,693594948
41;2018;Q3;Stratified;haul based;5;0,346595522;0,340235359;0,34470054;0,21030606;0,471800627;0,213629051;0,473044451;0,070548182;0,203546143;0,259415399
42;2018;Q3;Stratified;haul based;6+;0,290425566;0,286087825;0,286133202;0,228913425;0,345677341;0,237688748;0,355054848;0,030047403;0,103459912;0,1173661
43;2017;Q1;ICES-IBTS;area based;0;0;0;0;0;0;0;0;0;#N/A;0
44;2017;Q1;ICES-IBTS;area based;1;8,82598599;9,442138865;9,303108328;7,576107418;11,76143562;6,954806652;10,66641162;1,105459525;0,125250542;3,711604967
45;2017;Q1;ICES-IBTS;area based;2;2,323817036;2,570382123;2,532000678;1,8719313;3,402394134;1,670180263;2,729520429;0,36968422;0,159084908;1,059340166
46;2017;Q1;ICES-IBTS;area based;3;3,424609633;3,766719342;3,665219173;2,370094231;5,722667669;2,231809256;5,122765442;0,879296421;0,256758146;2,890956186
47;2017;Q1;ICES-IBTS;area based;4;2,930400725;3,152885546;3,043897154;1,915527455;5,123855856;1,827551262;4,706546936;0,813273077;0,277529647;2,878995675
48;2017;Q1;ICES-IBTS;area based;5;1,481485502;1,495519432;1,470400646;0,948633158;2,237837811;0,957255506;2,271042537;0,325518682;0,219724514;1,313787031
49;2017;Q1;ICES-IBTS;area based;6+;0,830832666;0,90179113;0,779503937;0,29602554;2,281560317;0,311192206;2,369169439;0,52183381;0,62808533;2,057977233
50;2017;Q1;Modified-ICES;area based;0;0;0;0;0;0;0;0;0;#N/A;0
51;2017;Q1;Modified-ICES;area based;1;8,82598599;9,187492857;9,150989316;7,784660479;10,7885277;7,347926316;10,01276763;0,772345297;0,087508104;2,664841314
52;2017;Q1;Modified-ICES;area based;2;2,323817036;2,314910309;2,30129241;1,917787135;2,763895622;1,954250652;2,808173282;0,218904401;0,09420036;0,853922631
53;2017;Q1;Modified-ICES;area based;3;3,424609633;3,503734705;3,50538824;2,455657501;4,515702558;2,363359805;4,376523663;0,509920666;0,148898917;2,013163858
54;2017;Q1;Modified-ICES;area based;4;2,930400725;2,980635655;2,966350551;2,043047651;3,891959683;2,024747045;3,855871889;0,498549773;0,170130238;1,831124843
55;2017;Q1;Modified-ICES;area based;5;1,481485502;1,41676506;1,405453774;1,068040542;1,79304635;1,197007786;2,018690307;0,194139908;0,131044082;0,821682521
56;2017;Q1;Modified-ICES;area based;6+;0,830832666;0,842555441;0,821294272;0,353459912;1,660961315;0,361412625;1,668341936;0,345227499;0,415519891;1,306929311
57;2017;Q1;Stratified;haul based;0;0;0;0;0;0;0;0;0;#N/A;0
58;2017;Q1;Stratified;haul based;1;8,838622913;9,199546889;9,163091131;7,794688405;10,80394582;7,361927589;10,01955697;0,772664768;0,087419135;2,657629381
59;2017;Q1;Stratified;haul based;2;2,339581305;2,328102098;2,320064688;1,931391375;2,805776618;1,952162877;2,829418851;0,225704578;0,096472209;0,877255974
60;2017;Q1;Stratified;haul based;3;3,201014907;3,303891823;3,309341182;2,392732654;4,179761385;2,226409228;3,971683341;0,449126125;0,140307414;1,745274113
61;2017;Q1;Stratified;haul based;4;3,13574282;3,142860046;3,136774005;2,042341199;4,223811876;2,040184524;4,222158674;0,558616651;0,178144919;2,181974149
62;2017;Q1;Stratified;haul based;5;1,45017998;1,431320074;1,428462574;1,073595606;1,777697948;1,120823255;1,896363034;0,188408397;0,129920699;0,775539779
63;2017;Q1;Stratified;haul based;6+;0,851989627;0,840373097;0,827295234;0,345414616;1,692724756;0,376926484;1,730564885;0,357305944;0,419378279;1,353638401
64;2017;Q3;ICES-IBTS;area based;0;1,694825811;1,409778658;1,366624319;0,636133214;2,324295225;1,03491696;2,851166812;0,446509687;0,263454618;1,816249852
65;2017;Q3;ICES-IBTS;area based;1;15,69620033;15,68170241;15,02333238;9,98463218;25,6407987;10,69021862;27,83201561;4,210869648;0,268273185;17,14179699
66;2017;Q3;ICES-IBTS;area based;2;1,9421377;2,071431373;1,992031531;1,196119024;3,341281206;1,115897632;3,054059089;0,523628601;0,26961456;1,938161457
67;2017;Q3;ICES-IBTS;area based;3;1,337184601;1,367888402;1,355082192;0,959207433;1,785010035;0,904964609;1,763618429;0,223224926;0,166936507;0,858653819
68;2017;Q3;ICES-IBTS;area based;4;1,124166265;1,164088991;1,146123877;0,810503917;1,610308051;0,793055762;1,515397409;0,200532065;0,178382924;0,722341647
69;2017;Q3;ICES-IBTS;area based;5;0,667666743;0,683787486;0,643520915;0,388294897;1,118699051;0,401425985;1,145559467;0,202584013;0,303420854;0,744133482
70;2017;Q3;ICES-IBTS;area based;6+;0,294019598;0,300833635;0,294266829;0,18494983;0,43756061;0,184862124;0,43662906;0,062685767;0,213202681;0,251766936
71;2017;Q3;Modified-ICES;area based;0;1,694825811;1,463134975;1,44701871;0,815174674;2,158963899;1,279363839;2,400098167;0,335312455;0,197844789;1,120734327
72;2017;Q3;Modified-ICES;area based;1;15,69620033;15,58859607;15,57205632;10,83312267;19,93984984;11,14262125;20,01542221;2,447367668;0,155921027;8,872800953
73;2017;Q3;Modified-ICES;area based;2;1,9421377;1,939810371;1,921076956;1,329964207;2,640332805;1,360588147;2,692353487;0,336909395;0,173473485;1,33176534
74;2017;Q3;Modified-ICES;area based;3;1,337184601;1,339271664;1,336559098;1,080768361;1,584584946;1,080768361;1,584584946;0,128241959;0,095904454;0,503816585
75;2017;Q3;Modified-ICES;area based;4;1,124166265;1,109206451;1,109173383;0,927585953;1,305576153;0,955146015;1,339660402;0,098451326;0,087577193;0,384514387
76;2017;Q3;Modified-ICES;area based;5;0,667666743;0,640145267;0,641419451;0,461036905;0,836041973;0,488041937;0,869522382;0,101116196;0,151447106;0,381480444
77;2017;Q3;Modified-ICES;area based;6+;0,294019598;0,289540489;0,288817694;0,242433398;0,337239822;0,250705062;0,343337035;0,02465587;0,083857914;0,092631973
78;2017;Q3;Stratified;haul based;0;1,697412474;1,46421453;1,447540724;0,817002736;2,159326808;1,291908309;2,401722678;0,334705343;0,197185627;1,109814368
79;2017;Q3;Stratified;haul based;1;15,76740549;15,66761577;15,60282608;10,83210834;20,21919241;11,17086883;20,34507444;2,530382095;0,16048183;9,174205604
80;2017;Q3;Stratified;haul based;2;1,829735712;1,830348259;1,829983809;1,298191398;2,338025115;1,298191398;2,338025115;0,270930683;0,148070938;1,039833717
81;2017;Q3;Stratified;haul based;3;1,335460145;1,351275697;1,344939984;1,093984448;1,601773981;1,08028539;1,583627028;0,129068444;0,09664717;0,503341637
